Category,Name,Ownership: Government/Private,Street Address,City,State,Zip,County,Phone Number,Website,Hours- Sunday,Hours - Monday,Hours - Tuesday,Hours - Wednesday,Hours - Thursday,Hours - Friday,Hours - Saturday,Residential Household Garbage,Residential Electronic Waste,Residential Appliances/ Furniture,Residential Brush,Residential Construction,Demolition Waste,Recycling - Residential Metal,Recycling - Residential Cans,Recycling - Residential Aluminum,Recycling - Residential Plastics (#1 & #2 only),Recycling - Residential Glass,Recycling - Residential Paper,Recycling - Residential Cardboard,Recycling - Residential Used Motor Oil,Recycling - Residential Used Cooking Oil,Special Waste - Residential automotive batteries,Special Waste - Residential latex-based paint,Special Waste - Residential antifreeze,Special Waste - Residential Automotive Tires,Holiday Hours - New Year's Day,Holiday Hours - MLK Day,Holiday Hours - President's Day,Holiday Hours - Easter,Holiday Hours - Memorial Day,Holiday Hours - Independence Day,Holiday Hours - Veteran's Day,Holiday Hours - Thanksgiving Day,Holiday Hours - Christmas Eve,Holiday Hours - Christmas Day,Goodwill Drop-Off,Daily Limit,Notes,Lat,Long
Transfer Station,Yoncalla Transfer Station,Government,555 Yoncalla Transfer Rd,Yoncalla,OR,97499,Douglas,541-440-4485,http://www.recyclepower.org/,8:00AM-6:00PM,No,No,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,43.5984531,-123.2834167
Compost Facility,Columbia Ridge Landfill: Composting,Private,18177 Cedar Springs Ln,Arlington,OR,97812,Gilliam,541-454-3201,https://www.wm.com/,No,6:15AM-3:30PM,6:15AM-3:30PM,6:15AM-3:30PM,6:15AM-3:30PM,6:15AM-3:30PM,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,45.6160436,-120.2457074
Landfill,Columbia Ridge Landfill,Private,18177 Cedar Springs Ln,Arlington,OR,97812,Gilliam,541-454-2030,https://www.wm.com/,No,6:15AM-3:30PM,6:15AM-3:30PM,6:15AM-3:30PM,6:15AM-3:30PM,6:15AM-3:30PM,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,45.6160436,-120.2457074
Transfer Station,Columbia Ridge Transfer Station,Private,18177 Cedar Springs Ln,Arlington,OR,97812,Gilliam,541-454-2030,https://www.wm.com/,No,6:15AM-3:30PM,6:15AM-3:30PM,6:15AM-3:30PM,6:15AM-3:30PM,6:15AM-3:30PM,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,45.6160436,-120.2457074
Transfer Station,Condon Transfer Station,Government,Brown Lane,Condon,OR,97823,Gilliam,541-384-2711,http://cityofcondon.com/recycling/,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,45.2582852,-120.1712895
Landfill,Silvies Valley Ranch LLC,Private,40000 E. Cowboy Lane,Seneca,OR,97873,Grant,541-589-3994,https://www.silvies.us/,8:00AM-9:00PM,8:00AM-9:00PM,8:00AM-9:00PM,8:00AM-9:00PM,8:00AM-9:00PM,8:00AM-9:00PM,8:00AM-9:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.058579,-118.9631071
Transfer Station,Hendrix  (Clark's) Transfer Station,Government,26431 Luce Creek Rd.,John Day,OR,97845,Grant,541-575-0059,https://clarks-disposal.business.site/?utm_source=gmb&utm_medium=referral,No,11:00AM-2:00PM,11:00AM-2:00PM,11:00AM-2:00PM,11:00AM-2:00PM,11:00AM-2:00PM,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3633355,-119.0043313
Transfer Station,Long Creek Transfer Station,Government,55356 Paul Creek Lane,Long Creek,OR,97856,Grant,541-421-3601,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.9901523,-93.5972317
Transfer Station,Monument Transfer Station,Government,"North Of Monument On ""Airport Road""",Monument,OR,97864,Grant,541-934-2025,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,43.8041334,-120.5542012
Transfer Station,Seneca Transfer Station,Government,Shirttail Creek Road Sec34,Seneca,OR,97873,Grant,541-542-2161,,No,7:00AM-6:00PM,No,7:00AM-6:00PM,Closed,No,7:00AM-3:00PM,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.1332098,-118.9748448
Landfill,Burns-Hines Disposal Site,Private,"Sec 14, T23S, R30E",Burns,OR,97720,Harney,541-573-6441,,11:00AM-4:00PM,10:00AM-7:00PM,10:00AM-7:00PM,10:00AM-7:00PM,10:00AM-7:00PM,10:00AM-7:00PM,10:00AM-7:00PM,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,43.5862606,-119.0541032
Landfill,Diamond Disposal Site,Government,"Sec 15, T29S, R32E",Diamond,OR,97722,Harney,541-573-6356,http://www.diamonddisposalllc.com/,No,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,40.3688643,-75.6188541
Landfill,Drewsey Disposal Site,Government,"Sec 7, T20S, R36E",Drewsey,OR,97904,Harney,541-573-6356,,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,43.8071385,-118.3786823
Landfill,Fields Disposal Site,Government,"Andrews (Unincorporated) Sec24,T35S,R33E",Fields,OR,,Harney,541-573-6356,,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,
Landfill,Frenchglen Disposal Site,Government,"Sec 9, T32S, R32E",Frenchglen,OR,97736,Harney,541-573-6356,http://www.frenchglenhotel.com/,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,42.8279687,-118.9152153
Landfill,Riley Disposal Site,Government,"Sec 10, T23S, R26E",Riley,OR,97758,Harney,541-573-6356,,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,
Compost Facility,Columbia Gorge Organic Fruit Compost Facility,Private,3510 Central Vale Rd,Hood River,OR,97031,Hood River,541-354-1066,http://www.cogojuice.com/,No,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,45.6069335,-121.5401457
Transfer Station,Hood River Recycling & Transfer Station + Tri-County HHHW Collection Facility,Private,3440 Guignard Dr,Hood River,OR,97031,Hood River,503-288-7844,http://www.hoodrivergarbage.com/,No,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,45.6829296,-121.5325178
Waste Tire Facility,Jubitz Tire/Soil Berm,Private,8700 Clear Creek Rd.,Parkdale,OR,97041,Hood River,503-292-0046,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,45.5966543,-122.668325
Compost Facility,Rogue Compost Facility,Private,6260 Dry Creek Rd,Eagle Point,OR,97524,Jackson,541-779-4161,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,42.3807269,-122.7749493
Compost Facility,Hilton Fuel & Supply Company,Private,8087 Blackwell Rd,Central Point,OR,97502,Jackson,541-664-3374,http://hiltonlandscapesupply.com/,No,7:00AM-4:30PM,7:00AM-4:30PM,7:00AM-4:30PM,7:00AM-4:30PM,7:00AM-4:30PM,7:00AM-4:30PM,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,42.4186884,-122.9690565
Landfill,Dry Creek Landfill,Private,6260 Dry Creek Road,Eagle Point,OR,97524,Jackson,541-494-5455,http://roguedisposal.com/about-the-landfill/,No,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,7:00AM-4:00PM,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,42.3807269,-122.7749493
Transfer Station,Rogue Transfer Station & Mrf,Private,8001 Table Rock Rd,Medford,OR,97503,Jackson,541-779-4161,https://roguedisposal.com/transfer-station,No,7:00AM-5:00PM,7:00AM-5:00PM,7:00AM-5:00PM,7:00AM-5:00PM,7:00AM-5:00PM,7:00AM-5:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.432213,-122.8891349
Transfer Station,Valley View Transfer Station,Private,3000 N. Valley View Rd.,Ashland,OR,97520,Jackson,541-552-5602,https://www.recology.com/recology-ashland/valley-view-transfer-station/,No,7:30AM-4:00PM,7:30AM-4:00PM,7:30AM-4:00PM,7:30AM-4:00PM,7:30AM-4:00PM,7:30AM-4:00PM,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,,,,,,,,,,,,42.2636081,-122.7358994
Compost Facility,"High Desert Organix, LLC Compost Facility",Private,Ne Cherry Lane,Madras,OR,97741,Jefferson,541-475-2627,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.5956475,-121.0710624
Transfer Station,Box Canyon Transfer Station,Government,1760 Se Mctaggart,Madras,OR,97741,Jefferson,503-899-7248,http://madrassanitary.com/,8:30AM-4:30PM,8:30AM-4:30PM,No,No,Closed,8:30AM-4:30PM,8:30AM-4:30PM,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.6095695,-121.1026687
Transfer Station,Camp Sherman Transfer Station,Government,Intersection Of Nf Rd 14 And 1419,Camp Sherman,OR,97730,Jefferson,503-899-7248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4600175,-121.6473132
Compost Facility,"Southern Oregon Compost, LLC",Private,5863 Lower River Rd.,Grants Pass,OR,97526,Josephine,541-479-7409,,No,9:00AM-3:00PM,9:00AM-3:00PM,9:00AM-3:00PM,9:00AM-3:00PM,9:00AM-3:00PM,9:00AM-3:00PM,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,42.436699,-123.4281908
Transfer Station,Josephine Recycling And Transfer Station,Private,1749 Merlin Rd,Grants Pass,OR,97526,Josephine,541-479-3371,http://www.republicservices.com/?utm_source=yext.com&utm_medium=referral&utm_campaign=Yext_Profile_Click_Google&utm_term=454,,,,,,,,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,42.5004242,-123.3998234
Transfer Station,Kerby Transfer Station,Private,"Off Mainline Road Northeast Of Kerby, Or",Kerby,OR,97544,Josephine,541-479-5335,http://www.sosanitation.com/,No,9:00AM-4:00PM,9:00AM-4:00PM,9:00AM-4:00PM,9:00AM-4:00PM,9:00AM-4:00PM,9:00AM-4:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1942797,-123.651735
Transfer Station,Southern Oregon Sanitation Transfer Station,Private,1381 Redwood Ave,Grants Pass,OR,97527,Josephine,541-479-5335,http://www.sosanitation.com/,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,42.421955,-123.355133
Compost Facility,Regional Disposal Company,Private,54 South Dawson Street,Seattle,OR,98134,King,206-332-7768,,No,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,47.5559032,-122.3361709
Compost Facility,Stateline Compost,Private,24600 Hwy 97,Klamath Falls,OR,97627,Klamath,541-880-8318,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,48.2806485,-119.7013221
Compost Facility,Klamath Falls Landfill-compost facility,Government,801 Old Fort Rd,Klamath Falls,OR,97601,Klamath,541-883-5121,,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,,,,,,,,,,,,,,42.233942,-121.75492
Compost Facility,Tulelake Compost Yard,Private,23423 Old Malin Hwy,Malin,OR,97632,Klamath,623-853-9880,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,42.0252595,-121.4924428
Landfill,Klamath Falls Landfill,Government,801 Old Fort Road,Klamath Falls,OR,97601,Klamath,541-883-4294,,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,,,,,,,,,,,,,,42.233942,-121.75492
Landfill,Chemult Landfill,Government,400 Chemult Dump Road,Chemult,OR,97731,Klamath,541-891-1608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2165182,-121.7831612
Transfer Station,Shady Pine Road,Private,11091 Shady Pine Road,Klamath,OR,97602,Klamath,541-882-8377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.328518,-121.8173778
Transfer Station,Beatty Transfer Station,Government,21000 Yellow Jacket Springs Rd,Beatty,OR,97621,Klamath,541-891-1608,,,,,,,,,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,42.4141983,-121.2766287
Transfer Station,Bonanza Transfer Station,Government,1101 Bonanza Cut-Off Rd,Bonanza,OR,97623,Klamath,541-891-1608,,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,42.1987607,-121.4061076
Transfer Station,Chiloquin Transfer Station,Government,2301 Chiloquin Sprague River Hwy,Chiloquin,OR,97624,Klamath,541-891-1608,,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,42.5776364,-121.8661258
Transfer Station,Crescent Transfer Station,Government,"3 Mi. West Of Crescent, On Crescent Cut-",Crescent,OR,97733,Klamath,541-891-1608,,No,No,No,8:30AM-3:00PM,8:30AM-3:00PM,8:30AM-3:00PM,8:30AM-3:00PM,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,43.4623474,-121.6955803
Transfer Station,Keno Transfer Station,Government,15353 Keno-Worden Rd,Keno,OR,97603,Klamath,541-891-1608,,,,,,,,,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,42.089003,-121.897461
Transfer Station,Merrill Transfer Station,Government,13400 Lower Lake Rd,Merrill,OR,97633,Klamath,541-891-1608,,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,
Transfer Station,Odessa Transfer Station,Government,26000 Hwy 140 West,Rocky Point,OR,97601,Klamath,541-891-1608,,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,
Transfer Station,Rogue Klamath Transfer Station,Private,4005 Tingley Ln,Klamath Falls,OR,97603,Klamath,,https://www.klamathcounty.org/359/Disposal-Locations,No,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1902541,-121.7654494
Transfer Station,Sprague River Transfer Station,Government,23101 Drews Rd,Sprague River,OR,97639,Klamath,541-891-1608,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,42.46671,-121.5050469
Transfer Station,"Industrial Oil, Inc",Private,1291 Laverne Ave.,Klamath Falls,OR,97603,Klamath,800-404-9124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1925575,-121.7678907
Compost Facility,McGarva Ranch,Private,16866 Westside Rd,Lakeview,OR,97630,Lake,541-947-4062,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,42.1393427,-120.4738378
Compost Facility,McGarva Ranch,Private,16866 Westside Rd,Lakeview,OR,97630,Lake,541-947-4062,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,42.1393427,-120.4738378
Landfill,Thomas Creek Road Landfill,Government,23980 Thomas Creek Road,Lakeview,OR,97630,Lake,541-947-6048,https://www.lakecountyor.org/government/land_fill.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2832389,-120.3641652
Transfer Station,Christmas Valley Transfer Station,Government,"On County Rd 9-21, 4 Miles North Of Town",Christmas Valley,OR,97641,Lake,541-947-6048,http://www.lakecountyor.org/government/sheriff.php,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,43.237797,-120.6708853
Transfer Station,Fort Rock Transfer Station,Government,3 Miles West Of Fort Rock On County Road,Fort Rock,OR,97735,Lake,541-947-6048,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,43.3,-121
Transfer Station,Paisley Transfer Station,Government,3 Miles North Of Paisley,Paisley,OR,97636,Lake,541-947-6048,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,42.6937634,-120.5460827
Transfer Station,Silver Lake Transfer Station,Government,3 Miles Southeast Of Silver Lake Off Hwy,Silver Lake,OR,97638,Lake,541-947-6048,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,43.1278468,-121.0480986
Transfer Station,Thomas Creek Road Transfer Station,Government,23980 Thomas Creek Road,Lakeview,OR,97630,Lake,541-947-6048,http://www.lakecountyor.org/government/land_fill.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2832389,-120.3641652
Compost Facility,JC Compost Yard,Private,Hwy 99 Station 140+75,Junction City,OR,97448,Lane,541-345-9085,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.2193103,-123.2046619
Compost Facility,Lane Forest Products,Private,2111 Prairie Road,Eugene,OR,97402,Lane,541-345-9085,https://laneforest.com/,9:00AM-5:00PM,7:30AM-5:30PM,7:30AM-5:30PM,7:30AM-5:30PM,7:30AM-5:30PM,7:30AM-5:30PM,7:30AM-5:30PM,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.09539,-123.159527
Compost Facility,"Shell New Energies, Junction City",Private,92757 Highway 99 S,Junction City,OR,97448,Lane,403-384-6150,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.1808512,-123.201946
Compost Facility,Bloomberg Park Leaf Composting Facility,Government,Bloomberg Rd,Eugene,OR,97405,Lane,541-682-4800,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.0176253,-123.0450755
Compost Facility,Coburg Production Facility,Private,92574 N Coburg Rd,Eugene,OR,97408,Lane,541-342-1835,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.179119,-123.078993
Compost Facility,Winter Green Farm,Private,22481 West Sheffler Rd,Noti,OR,97461,Lane,541-935-1920,http://www.wintergreenfarm.com/,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.093312,-123.45731
Landfill,Delta Sand & Gravel Demolition Landfill,Private,999 Division Street,Eugene,OR,97404,Lane,541-688-2233,http://www.deltasg.com/,No,7:30AM-4:00PM,7:30AM-4:00PM,7:30AM-4:00PM,7:30AM-4:00PM,7:30AM-4:00PM,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0966698,-123.1081764
Landfill,Short Mountain Landfill,Government,84777 Dillard Access Rd.,Eugene,OR,97405,Lane,541-682-3761,,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,,,,,,,,,,,,,,43.9696903,-123.0100799
Transfer Station,Cottage Grove Garbage,Private,2055 Getty Circle,Cottage Grove,OR,97424,Lane,541-942-8321,https://www.cottagegrovegarbage.com/,No,9:00AM-4:00PM,9:00AM-4:00PM,9:00AM-4:00PM,9:00AM-4:00PM,9:00AM-2:00PM,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7813403,-123.0758232
Transfer Station,Cottage Grove Transfer Station,Government,78760 Sears Rd.,Cottage Grove,OR,97424,Lane,541-682-4342,http://www.lanecounty.org/business/recycling_and_waste,No,No,No,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,43.798786,-123.025527
Transfer Station,Creswell Transfer Station,Government,34293 E Cloverdale Rd,Creswell,OR,97426,Lane,541-682-4342,http://www.lanecounty.org/,No,No,No,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,43.9155963,-122.9952244
Transfer Station,Florence Transfer Station,Government,2820 Rhododendron Dr,Florence,OR,97439,Lane,541-682-4342,http://www.lanecounty.org/business/recycling_and_waste,No,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,43.9895533,-124.117248
Transfer Station,Glenwood Central Receiving Station,Government,3100 E. 17Th Ave.,Eugene,OR,97403,Lane,541-682-4342,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.0450783,-123.0803528
Transfer Station,London Transfer Station,Government,73111 London Rd,Cottage Grove,OR,97424,Lane,541-682-3773,http://www.lanecounty.org/business/recycling_and_waste,No,No,No,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,43.6446262,-123.0830696
Transfer Station,Low Pass Transfer Station,Government,22377 Hwy. 36,Cheshire,OR,97419,Lane,541-682-4342,,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.1948853,-123.4631706
Transfer Station,Marcola Transfer Station,Government,38935 Shotgun Creek Road,Marcola,OR,97454,Lane,541-682-3773,,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.2121237,-122.8313133
Transfer Station,McKenzie Bridge Transfer Station,Government,55805 Mckenzie Hwy,Blue River,OR,97413,Lane,541-682-4342,,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.1766481,-122.1934333
Transfer Station,Oakridge Transfer Station,Government,48977 Kitson Springs Rd.,Oakridge,OR,97463,Lane,541-682-4342,,No,No,No,9:00AM-5:00PM,9:00AM-5:00PM,9:00AM-5:00PM,9:00AM-5:00PM,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,43.72676,-122.4369233
Transfer Station,Rattlesnake Transfer Station,Government,82572 Rattlesnake Rd (Off Hwy. 58),Dexter,OR,97431,Lane,541-682-3773,http://www.lanecounty.org/business/recycling_and_waste,No,No,No,9:00AM-5:00PM,9:00AM-5:00PM,9:00AM-5:00PM,9:00AM-5:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9088745,-122.8526382
Transfer Station,Rexius Transfer Station,Private,120 Hwy 99,Eugene,OR,97402,Lane,541-342-1835,https://www.lanecountyor.gov/cms/one.aspx?pageId=15645045,8:00AM-5:00PM,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0577201,-123.1328506
Transfer Station,Sharps Creek Transfer Station,Government,74540 Sharps Creek Rd,Culp Creek,OR,97427,Lane,541-682-3773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6330397,-122.7789263
Transfer Station,Swisshome Transfer Station,Government,13711 Highway 36,Swisshome,OR,97480,Lane,541-682-3773,,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.076607,-123.803453
Transfer Station,Veneta Transfer Station,Government,24444 Bolton Hill Rd,Veneta,OR,97487,Lane,541-682-3773,http://www.lanecounty.org/business/recycling_and_waste,No,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.030976,-123.368727
